Bexar County,May 24 2022 - Democrats,Joint Primary Runoff,Total Provisionals:  24,Total Provisionals Counted:  14,,,,,,,,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,47,,39.50%,,9,,9,,,29,,
Janet T. Dudding,,72,,60.50%,,21,,18,,,33,,
Total Votes Cast,,119,,100.00%,,30,,27,,,62,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,4,,0,,,2,,
,,,,,,,,,,761,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3040,,,,,,,,,,,,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,73,,59.84%,,20,,14,,,39,,
Jay Kleberg,,49,,40.16%,,12,,13,,,24,,
Total Votes Cast,,122,,100.00%,,32,,27,,,63,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,2,,0,,,1,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,66,,52.80%,,20,,12,,,34,,
Peter Sakai,,59,,47.20%,,14,,15,,,30,,
Total Votes Cast,,125,,100.00%,,34,,27,,,64,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,81,,66.94%,,19,,18,,,44,,
Maria Teresa Garcia,,40,,33.06%,,12,,9,,,19,,
Total Votes Cast,,121,,100.00%,,31,,27,,,63,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,3,,0,,,1,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,60,,49.59%,,19,,12,,,29,,
"Christine ""Chris"" Castillo",,61,,50.41%,,13,,14,,,34,,
Total Votes Cast,,121,,100.00%,,32,,26,,,63,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,2,,1,,,1,,
,,,,,,,,,,762,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3041,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,597,,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,120,,52,,14,,54,,,,,
Ballots Cast - Democratic Party,,58,,17,,8,,33,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,20.10%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,"DEM United States Representative, District 21 United States Representative, District 21",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Claudia Andreana Zapata,,29,,53.70%,,10,,1,,,18,,
Ricardo Villarreal,,25,,46.30%,,4,,7,,,14,,
Total Votes Cast,,54,,100.00%,,14,,8,,,32,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,3,,0,,,1,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,23,,43.40%,,9,,1,,,13,,
Mike Collier,,30,,56.60%,,5,,7,,,18,,
Total Votes Cast,,53,,100.00%,,14,,8,,,31,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,3,,0,,,2,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,34,,62.96%,,8,,6,,,20,,
Joe Jaworski,,20,,37.04%,,6,,2,,,12,,
Total Votes Cast,,54,,100.00%,,14,,8,,,32,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,3,,0,,,1,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,26,,52.00%,,6,,1,,,19,,
Janet T. Dudding,,24,,48.00%,,8,,6,,,10,,
Total Votes Cast,,50,,100.00%,,14,,7,,,29,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,3,,1,,,4,,
,,,,,,,,,,763,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3041,,,,,,,,,,,,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,23,,44.23%,,8,,1,,,14,,
Jay Kleberg,,29,,55.77%,,7,,5,,,17,,
Total Votes Cast,,52,,100.00%,,15,,6,,,31,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,2,,2,,,2,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,18,,32.14%,,9,,2,,,7,,
Peter Sakai,,38,,67.86%,,6,,6,,,26,,
Total Votes Cast,,56,,100.00%,,15,,8,,,33,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,2,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,26,,50.98%,,6,,6,,,14,,
Maria Teresa Garcia,,25,,49.02%,,8,,1,,,16,,
Total Votes Cast,,51,,100.00%,,14,,7,,,30,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,3,,1,,,3,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,25,,46.30%,,8,,2,,,15,,
"Christine ""Chris"" Castillo",,29,,53.70%,,8,,5,,,16,,
Total Votes Cast,,54,,100.00%,,16,,7,,,31,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,1,,1,,,2,,
,,,,,,,,,,764,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3042,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"2,538",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,345,,111,,35,,199,,,,,
Ballots Cast - Democratic Party,,105,,33,,18,,54,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,13.59%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,37,,35.92%,,17,,2,,,18,,
Mike Collier,,66,,64.08%,,16,,16,,,34,,
Total Votes Cast,,103,,100.00%,,33,,18,,,52,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,0,,0,,,2,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,71,,70.30%,,28,,10,,,33,,
Joe Jaworski,,30,,29.70%,,5,,8,,,17,,
Total Votes Cast,,101,,100.00%,,33,,18,,,50,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,0,,0,,,4,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,32,,33.68%,,13,,2,,,17,,
Janet T. Dudding,,63,,66.32%,,17,,15,,,31,,
Total Votes Cast,,95,,100.00%,,30,,17,,,48,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,10,,,,3,,1,,,6,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,42,,42.00%,,21,,4,,,17,,
Jay Kleberg,,58,,58.00%,,12,,14,,,32,,
Total Votes Cast,,100,,100.00%,,33,,18,,,49,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,0,,0,,,5,,
,,,,,,,,,,765,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3042,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,51,,49.51%,,20,,7,,,24,,
Peter Sakai,,52,,50.49%,,12,,11,,,29,,
Total Votes Cast,,103,,100.00%,,32,,18,,,53,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,0,,,1,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,55,,59.14%,,15,,17,,,23,,
Maria Teresa Garcia,,38,,40.86%,,14,,1,,,23,,
Total Votes Cast,,93,,100.00%,,29,,18,,,46,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,12,,,,4,,0,,,8,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,52,,57.14%,,17,,9,,,26,,
"Christine ""Chris"" Castillo",,39,,42.86%,,11,,9,,,19,,
Total Votes Cast,,91,,100.00%,,28,,18,,,45,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,14,,,,5,,0,,,9,,
,,,,,,,,,,766,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3043,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"3,041",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,428,,146,,59,,223,,,,,
Ballots Cast - Democratic Party,,92,,35,,18,,39,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,14.07%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,48,,54.55%,,21,,9,,,18,,
Mike Collier,,40,,45.45%,,14,,7,,,19,,
Total Votes Cast,,88,,100.00%,,35,,16,,,37,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,0,,2,,,2,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,72,,80.00%,,29,,14,,,29,,
Joe Jaworski,,18,,20.00%,,6,,4,,,8,,
Total Votes Cast,,90,,100.00%,,35,,18,,,37,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,0,,0,,,2,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,29,,32.95%,,12,,4,,,13,,
Janet T. Dudding,,59,,67.05%,,23,,12,,,24,,
Total Votes Cast,,88,,100.00%,,35,,16,,,37,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,0,,2,,,2,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,47,,53.41%,,21,,6,,,20,,
Jay Kleberg,,41,,46.59%,,13,,10,,,18,,
Total Votes Cast,,88,,100.00%,,34,,16,,,38,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,1,,2,,,1,,
,,,,,,,,,,767,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3043,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,48,,53.93%,,19,,10,,,19,,
Peter Sakai,,41,,46.07%,,13,,8,,,20,,
Total Votes Cast,,89,,100.00%,,32,,18,,,39,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,3,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,49,,57.65%,,19,,12,,,18,,
Maria Teresa Garcia,,36,,42.35%,,13,,4,,,19,,
Total Votes Cast,,85,,100.00%,,32,,16,,,37,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,3,,2,,,2,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,54,,61.36%,,22,,10,,,22,,
"Christine ""Chris"" Castillo",,34,,38.64%,,11,,8,,,15,,
Total Votes Cast,,88,,100.00%,,33,,18,,,37,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,2,,0,,,2,,
,,,,,,,,,,768,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3044,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,547",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,173,,80,,29,,64,,,,,
Ballots Cast - Democratic Party,,84,,28,,19,,37,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,11.18%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,"DEM United States Representative, District 21 United States Representative, District 21",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Claudia Andreana Zapata,,45,,58.44%,,16,,6,,,23,,
Ricardo Villarreal,,32,,41.56%,,9,,12,,,11,,
Total Votes Cast,,77,,100.00%,,25,,18,,,34,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,3,,1,,,3,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,24,,29.27%,,10,,4,,,10,,
Mike Collier,,58,,70.73%,,17,,15,,,26,,
Total Votes Cast,,82,,100.00%,,27,,19,,,36,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,0,,,1,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,49,,62.03%,,17,,8,,,24,,
Joe Jaworski,,30,,37.97%,,9,,11,,,10,,
Total Votes Cast,,79,,100.00%,,26,,19,,,34,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,2,,0,,,3,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,25,,33.78%,,12,,4,,,9,,
Janet T. Dudding,,49,,66.22%,,13,,13,,,23,,
Total Votes Cast,,74,,100.00%,,25,,17,,,32,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,10,,,,3,,2,,,5,,
,,,,,,,,,,769,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3044,,,,,,,,,,,,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,24,,30.77%,,9,,5,,,10,,
Jay Kleberg,,54,,69.23%,,16,,14,,,24,,
Total Votes Cast,,78,,100.00%,,25,,19,,,34,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,3,,0,,,3,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,17,,20.99%,,9,,1,,,7,,
Peter Sakai,,64,,79.01%,,17,,17,,,30,,
Total Votes Cast,,81,,100.00%,,26,,18,,,37,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,2,,1,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,49,,67.12%,,13,,12,,,24,,
Maria Teresa Garcia,,24,,32.88%,,10,,5,,,9,,
Total Votes Cast,,73,,100.00%,,23,,17,,,33,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,11,,,,5,,2,,,4,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,38,,51.35%,,12,,9,,,17,,
"Christine ""Chris"" Castillo",,36,,48.65%,,12,,8,,,16,,
Total Votes Cast,,74,,100.00%,,24,,17,,,33,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,10,,,,4,,2,,,4,,
,,,,,,,,,,770,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3045,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,595",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,335,,94,,78,,163,,,,,
Ballots Cast - Democratic Party,,105,,35,,22,,48,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,21.00%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,43,,42.57%,,15,,7,,,21,,
Mike Collier,,58,,57.43%,,17,,15,,,26,,
Total Votes Cast,,101,,100.00%,,32,,22,,,47,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,3,,0,,,1,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,64,,64.00%,,19,,11,,,34,,
Joe Jaworski,,36,,36.00%,,12,,11,,,13,,
Total Votes Cast,,100,,100.00%,,31,,22,,,47,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,4,,0,,,1,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,39,,40.21%,,17,,4,,,18,,
Janet T. Dudding,,58,,59.79%,,13,,18,,,27,,
Total Votes Cast,,97,,100.00%,,30,,22,,,45,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,5,,0,,,3,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,40,,38.84%,,15,,8,,,17,,
Jay Kleberg,,63,,61.16%,,19,,14,,,30,,
Total Votes Cast,,103,,100.00%,,34,,22,,,47,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,0,,,1,,
,,,,,,,,,,771,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3045,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,39,,38.24%,,16,,6,,,17,,
Peter Sakai,,63,,61.76%,,16,,16,,,31,,
Total Votes Cast,,102,,100.00%,,32,,22,,,48,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,3,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,52,,55.91%,,14,,11,,,27,,
Maria Teresa Garcia,,41,,44.09%,,15,,10,,,16,,
Total Votes Cast,,93,,100.00%,,29,,21,,,43,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,12,,,,6,,1,,,5,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,45,,46.88%,,13,,7,,,25,,
"Christine ""Chris"" Castillo",,51,,53.12%,,16,,15,,,20,,
Total Votes Cast,,96,,100.00%,,29,,22,,,45,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,9,,,,6,,0,,,3,,
,,,,,,,,,,772,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3046,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,539",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,298,,108,,72,,118,,,,,
Ballots Cast - Democratic Party,,157,,43,,41,,73,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,19.36%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,"DEM United States Representative, District 21 United States Representative, District 21",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Claudia Andreana Zapata,,67,,45.89%,,24,,15,,,28,,
Ricardo Villarreal,,79,,54.11%,,15,,20,,,44,,
Total Votes Cast,,146,,100.00%,,39,,35,,,72,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,11,,,,4,,6,,,1,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,39,,26.17%,,15,,8,,,16,,
Mike Collier,,110,,73.83%,,26,,29,,,55,,
Total Votes Cast,,149,,100.00%,,41,,37,,,71,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,2,,4,,,2,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,101,,66.01%,,29,,26,,,46,,
Joe Jaworski,,52,,33.99%,,13,,12,,,27,,
Total Votes Cast,,153,,100.00%,,42,,38,,,73,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,1,,3,,,0,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,39,,28.06%,,18,,4,,,17,,
Janet T. Dudding,,100,,71.94%,,22,,29,,,49,,
Total Votes Cast,,139,,100.00%,,40,,33,,,66,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,18,,,,3,,8,,,7,,
,,,,,,,,,,773,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3046,,,,,,,,,,,,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,34,,23.29%,,15,,9,,,10,,
Jay Kleberg,,112,,76.71%,,24,,29,,,59,,
Total Votes Cast,,146,,100.00%,,39,,38,,,69,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,11,,,,4,,3,,,4,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,44,,28.39%,,17,,9,,,18,,
Peter Sakai,,111,,71.61%,,25,,32,,,54,,
Total Votes Cast,,155,,100.00%,,42,,41,,,72,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,0,,,1,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,97,,72.39%,,17,,28,,,52,,
Maria Teresa Garcia,,37,,27.61%,,18,,4,,,15,,
Total Votes Cast,,134,,100.00%,,35,,32,,,67,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,23,,,,8,,9,,,6,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,40,,28.78%,,16,,11,,,13,,
"Christine ""Chris"" Castillo",,99,,71.22%,,23,,21,,,55,,
Total Votes Cast,,139,,100.00%,,39,,32,,,68,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,18,,,,4,,9,,,5,,
,,,,,,,,,,774,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3047,,,,,,,,,,,,,
